INPUT,COMMON,SCIENTIFIC,QAQC,ACP,ACP_EST,BLSC,BLSC_EST,CRD,CRD_EST,WBPHS,WBPHS_EST,YKD,YKD_EST
ALGO,Aleutian Cackling Goose,Branta hutchinsii leucopareia,CCGO,CCGO,1,CCGO,0,CCGO,1,CCGO,1,CCGO,1
ACGO,Aleutian Cackling Goose,Branta hutchinsii leucopareia,CCGO,CCGO,1,CCGO,0,CCGO,1,CCGO,1,CCGO,1
CA.N,Canada Goose,Branta canadensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CAGN,Canada Goose,Branta canadensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CAGO,Canada Goose,Branta canadensis,CCGO,CCGO,1,CCGO,0,CCGO,1,CCGO,1,CCGO,1
CAGON,Canada Goose,Branta canadensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SCGO,Small Canada Goose,Branta canadensis parvipes,CCGO,CCGO,1,CCGO,0,CCGO,1,CCGO,1,CCGO,1
SCGON,Small Canada Goose,Branta canadensis parvipes,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CACG,Cackling Goose,Branta hutchinsii,CCGO,CCGO,1,CCGO,0,CCGO,1,CCGO,1,CCGO,1
CANG,Canada Goose,Branta canadensis,CCGO,CCGO,1,CCGO,0,CCGO,1,CCGO,1,CCGO,1
CC.N,Cackling Goose,Branta hutchinsii,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CCGO,Cackling/Canada Goose,Branta hutchinsii/canadensis,CCGO,CCGO,1,CCGO,0,CCGO,1,CCGO,1,CCGO,1
CCNE,Cackling Goose,Branta hutchinsii,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MCGO,Minima Cackling Goose,Branta hutchinsii minima,CCGO,CCGO,1,CCGO,0,CCGO,1,CCGO,1,CCGO,1
DCGO,Dusky Canada Goose,Branta canadensis occidentalis,DCGO,DCGO,0,DCGO,0,DCGO,1,DCGO,1,DCGO,0
DCNE,Dusky Canada Goose,Branta canadensis occidentalis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
DCGON,Dusky Canada Goose,Branta canadensis occidentalis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CANV,Canvasback,Aythya valisineria,CANV,CANV,1,CANV,0,CANV,0,CANV,1,CANV,1
CEIH,Common Eider,Somateria mollissima,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CEJV,Common Eider,Somateria mollissima,COEI,COEI,1,COEI,0,COEI,0,COEI,1,COEI,1
COEH,Common Eider,Somateria mollissima,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COEI,Common Eider,Somateria mollissima,COEI,COEI,1,COEI,0,COEI,0,COEI,1,COEI,1
COEIH,Common Eider,Somateria mollissima,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COEIY,Common Eider,Somateria mollissima,COEI,COEI,1,COEI,0,COEI,0,COEI,1,COEI,1
COHE,Common Eider,Somateria mollissima,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COJV,Common Eider,Somateria mollissima,COEI,COEI,1,COEI,0,COEI,0,COEI,1,COEI,1
UCOE,Common Eider,Somateria mollissima,COEI,COEI,1,COEI,0,COEI,0,COEI,1,COEI,1
UCOH,Common Eider,Somateria mollissima,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COLO,Common Loon,Gavia immer,COLO,COLO,1,COLO,0,COLO,0,COLO,1,COLO,1
COLOB,Common Loon,Gavia immer,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COLON,Common Loon,Gavia immer,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COON,Common Loon,Gavia immer,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CORA,Common Raven,Corvus corax,CORA,CORA,1,CORA,0,CORA,0,CORA,1,CORA,0
CORAN,Common Raven,Corvus corax,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CR.N,Common Raven,Corvus corax,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
NORA,Common Raven,Corvus corax,CORA,CORA,1,CORA,0,CORA,0,CORA,1,CORA,0
RAVE,Common Raven,Corvus corax,CORA,CORA,1,CORA,0,CORA,0,CORA,1,CORA,0
CORM,Unidentified Cormorant,Phalacrocorax spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
DCCO,Double-crested Cormorant,Phalacrocorax auritus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PECO,Pelagic Cormorant,Phalacrocorax pelagicus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RFCO,Red-faced Cormorant,Phalacrocorax urile,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UNCO,Unidentified Cormorant,Phalacrocorax spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CRAU,Crested Auklet,Aethia cristatella,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CROW,Northwestern Crow,Corvus caurinus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EM.N,Emperor Goose,Anser canagicus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EMGN,Emperor Goose,Anser canagicus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EMGO,Emperor Goose,Anser canagicus,EMGO,EMGO,1,EMGO,0,EMGO,0,EMGO,1,EMGO,1
EMNE,Emperor Goose,Anser canagicus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
end,End of transect,N/A,END,END,0,END,0,END,0,END,0,END,0
END,End of transect,N/A,END,END,0,END,0,END,0,END,0,END,0
ENDCOUNT,End of transect,N/A,END,END,0,END,0,END,0,END,0,END,0
ENDPT,End of transect,N/A,END,END,0,END,0,END,0,END,0,END,0
ENDT,End of transect,N/A,END,END,0,END,0,END,0,END,0,END,0
TEND,End of transect,N/A,END,END,0,END,0,END,0,END,0,END,0
EUWI,Eurasian Wigeon,Mareca penelope,EUWI,EUWI,1,EUWI,0,EUWI,0,EUWI,1,EUWI,1
FALC,Unidentified Falcon,Falco spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GYFA,Gyrfalcon,Falco rusticolus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GYRF,Gyrfalcon,Falco rusticolus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MERL,Merlin,Falco columbarius,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PAFA,Peregrine Falcon,Falco peregrinus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PEFA,Peregrine Falcon,Falco peregrinus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
AFOX,Arctic Fox,Vulpes lagopus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ARFO,Arctic Fox,Vulpes lagopus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
