INPUT,COMMON,SCIENTIFIC,QAQC,ACP,ACP_EST,BLSC,BLSC_EST,CRD,CRD_EST,WBPHS,WBPHS_EST,YKD,YKD_EST
EBKR,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EBOL,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EBOR,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EBRI,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EBWR,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EDGE,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EDOL,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EEOI,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ERER,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ERR,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ESOL,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
FIXX,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
HUNT,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LAKE,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MARK,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
NONE,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PEOP,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PHOT,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PHOTO,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RIVE,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ROAD,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SEXX,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SHORE,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
snowline,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SSBI,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
STRM,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
TEST,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
TOUT,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UKAK,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
VEG,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
VEGE,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
VEGT,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WBHB,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WBKR,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WBOL,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WBOR,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WBRI,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WCOL,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WEOI,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
XXXX,Marker,Marker,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MEGU,Mew Gull,Larus canus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MWGU,Mew Gull,Larus canus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BELU,Beluga,Delphinapterus leucas,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BESE,Bearded Seal,Erignathus barbatus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
HASE,Harbor Seal,Phoca vitulina,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
HPORP,Harbor Porpoise,Phocoena phocoena,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
POBE,Polar Bear,Ursus maritimus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RISE,Ribbon Seal,Histriophoca fasciata,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SEAL,Unidentified Seal,Seal spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SEOT,Sea Otter,Enhydra lutris,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
STSE,Steller's Sea Lion,Eumetopias jubatus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,
STSL,Steller's Sea Lion,Eumetopias jubatus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
WALR,Walrus,Odobenus rosmarus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ANMU,Ancient Murrelet,Synthliboramphus antiquus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MAMU,Marbled Murrelet,Brachyramphus marmoratus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MURRL,Unidentified Murrelet,Brachyramphus spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COMU,Common Murre,Uria aalge,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MURRE,Unidentified Murre,Uria spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
TBMU,Thick-billed Murre,Uria lomvia,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
NOFU,Northern Fulmar,Fulmarus glacialis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
NOPI,Northern Pintail,Anas acuta,NOPI,NOPI,1,NOPI,0,NOPI,0,NOPI,1,NOPI,1
NOSH,Northern Shoveler,Spatula clypeata,NSHO,NSHO,1,NSHO,0,NSHO,0,NSHO,1,NSHO,1
NSHO,Northern Shoveler,Spatula clypeata,NSHO,NSHO,1,NSHO,0,NSHO,0,NSHO,1,NSHO,1
SHOV,Northern Shoveler,Spatula clypeata,NSHO,NSHO,1,NSHO,0,NSHO,0,NSHO,1,NSHO,1
GHOW,Great Horned Owl,Bubo virginianus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PAAU,Parakeet Auklet,Aethia psittacula,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
AL.N,Pacific Loon,Gavia pacifica,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ARLN,Pacific Loon,Gavia pacifica,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ARLO,Pacific Loon,Gavia pacifica,PALO,PALO,1,PALO,0,PALO,0,PALO,1,PALO,1
PALO,Pacific Loon,Gavia pacifica,PALO,PALO,1,PALO,0,PALO,0,PALO,1,PALO,1
PALOB,Pacific Loon,Gavia pacifica,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PALON,Pacific Loon,Gavia pacifica,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PASS,Unidentified Passerine,Passerine spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
FTSP,Fork-tailed Storm-Petrel,Oceanodroma furcata,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PIGU,Pigeon Guillemot,Cepphus columba,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
HOPU,Horned Puffin,Fratercula corniculata,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PUFF,Unidentified Puffin,Fratercula spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
TUPU,Tufted Puffin,Fratercula cirrhata,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COME,Common Merganser,Mergus merganser,COME,COME,1,COME,0,COME,0,COME,1,COME,1
MERG,Unidentified Merganser,Mergus spp.,UNME,RBME,1,UNME,0,UNME,0,UNME,0,RBME,1
RBME,Red-breasted Merganser,Mergus serrator,RBME,RBME,1,RBME,0,RBME,0,RBME,1,RBME,1
UNME,Unidentified Merganser,Mergus spp.,UNME,RBME,1,UNME,0,UNME,0,UNME,0,RBME,1
REDH,Redhead,Aythya americana,REDH,REDH,1,REDH,0,REDH,0,REDH,1,REDH,1
RLKI,Red-legged Kittiwake,Rissa brevirostris,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RING,Ring-necked Duck,Aythya collaris,RNDU,RNDU,1,RNDU,0,RNDU,0,RNDU,1,RNDU,0
RNDU,Ring-necked Duck,Aythya collaris,RNDU,RNDU,1,RNDU,0,RNDU,0,RNDU,1,RNDU,0
GRBE,Unidentified Grebe,Podiceps spp.,UNGR,UNGR,1,UNGR,0,UNGR,0,UNGR,0,UNGR,1
GREB,Unidentified Grebe,Podiceps spp.,UNGR,UNGR,1,UNGR,0,UNGR,0,UNGR,0,UNGR,1
HOGR,Horned grebe,Podiceps auritus,HOGR,HOGR,1,HOGR,0,HOGR,0,HOGR,1,HOGR,1
RNGB,Red-necked Grebe,Podiceps grisegena,RNGR,RNGR,1,RNGR,0,RNGR,0,RNGR,1,RNGR,1
RNGR,Red-necked Grebe,Podiceps grisegena,RNGR,RNGR,1,RNGR,0,RNGR,0,RNGR,1,RNGR,1
RNGRN,Red-necked Grebe,Podiceps grisegena,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GR.N,Unidentified Grebe,Podiceps spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UNGR,Unidentified Grebe,Podiceps spp.,UNGR,UNGR,1,UNGR,0,UNGR,0,UNGR,0,UNGR,1
RTLO,Red-throated Loon,Gavia stellata,RTLO,RTLO,1,RTLO,0,RTLO,0,RTLO,1,RTLO,1
RTLOB,Red-throated Loon,Gavia stellata,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RTLON,Red-throated Loon,Gavia stellata,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RUBL,Rusty Blackbird,Euphagus carolinus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RUDU,Ruddy Duck,Oxyura jamaicensis,RUDU,RUDU,1,RUDU,0,RUDU,0,RUDU,1,RUDU,1
LSCR,Sandhill Crane,Antigone canadensis,SACR,SACR,1,SACR,0,SACR,0,SACR,1,SACR,1
SACR,Sandhill Crane,Antigone canadensis,SACR,SACR,1,SACR,0,SACR,0,SACR,1,SACR,1
SH.N,Sandhill Crane,Antigone canadensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SHCR,Sandhill Crane,Antigone canadensis,SACR,SACR,1,SACR,0,SACR,0,SACR,1,SACR,1
BOGU,Bonaparte's Gull,Chroicocephalus philadelphia,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SAGU,Sabine's Gull,Xema sabini,SAGU,SAGU,1,SAGU,0,SAGU,0,SAGU,0,SAGU,0
SAGUN,Sabine's Gull,Xema sabini,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SASP,Savannah Sparrow,Passerculus sandwichensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SAVS,Savannah Sparrow,Passerculus sandwichensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GRSC,Greater Scaup,Aythya marila,UNSC,UNSC,1,UNSC,0,UNSC,0,UNSC,1,UNSC,1
GRSCH,Greater Scaup,Aythya marila,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LESC,Lesser Scaup,Aythya affinis,UNSC,UNSC,1,XXXX,0,UNSC,0,UNSC,1,UNSC,1
SCAU,Unidentified Scaup,Aythya spp.,UNSC,UNSC,1,XXXX,0,UNSC,0,UNSC,1,UNSC,1
SCAU1,Unidentified Scaup,Aythya spp.,UNSC,XXXX,0,UNSC,1,XXXX,0,XXXX,0,XXXX,0
SCAUF1,Unidentified Scaup,Aythya spp.,UNSC,XXXX,0,UNSC,1,XXXX,0,XXXX,0,XXXX,0
SCAU2,Unidentified Scaup,Aythya spp.,UNSC,XXXX,0,UNSC,1,XXXX,0,XXXX,0,XXXX,0
SCAUF2,Unidentified Scaup,Aythya spp.,UNSC,XXXX,0,UNSC,1,XXXX,0,XXXX,0,XXXX,0
SCAU3,Unidentified Scaup,Aythya spp.,UNSC,XXXX,0,UNSC,1,XXXX,0,XXXX,0,XXXX,0
SCAUF3,Unidentified Scaup,Aythya spp.,UNSC,XXXX,0,UNSC,1,XXXX,0,XXXX,0,XXXX,0
SCAU4,Unidentified Scaup,Aythya spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SCAUF4,Unidentified Scaup,Aythya spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SCAU5,Unidentified Scaup,Aythya spp.,UNSC,XXXX,0,UNSC,1,XXXX,0,XXXX,0,XXXX,0
SCAUF5,Unidentified Scaup,Aythya spp.,UNSC,XXXX,0,UNSC,1,XXXX,0,XXXX,0,XXXX,0
SCAUH,Unidentified Scaup,Aythya spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UNSC,Unidentified Scaup,Aythya spp.,UNSC,UNSC,1,XXXX,0,UNSC,0,UNSC,1,UNSC,1
AMSC,Black Scoter,Melanitta americana,BLSC,BLSC,1,XXXX,0,BLSC,0,BLSC,1,BLSC,1
SCOT,Unidentified Scoter,Melanitta spp.,SCOT,SCOT,1,XXXX,0,SCOT,0,SCOT,1,BLSC,1
SCOT1,Unidentified Scoter,Melanitta spp.,SCOT,XXXX,0,BLSC,1,XXXX,0,XXXX,0,XXXX,0
SCOT2,Unidentified Scoter,Melanitta spp.,SCOT,XXXX,0,BLSC,1,XXXX,0,XXXX,0,XXXX,0
SCOT3,Unidentified Scoter,Melanitta spp.,SCOT,XXXX,0,BLSC,1,XXXX,0,XXXX,0,XXXX,0
SCOT4,Unidentified Scoter,Melanitta spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SCOT5,Unidentified Scoter,Melanitta spp.,SCOT,XXXX,0,BLSC,1,XXXX,0,XXXX,0,XXXX,0
SCWW,Unidentified Scoter,Melanitta spp.,WWSC,WWSC,1,XXXX,0,WWSC,0,WWSC,1,WWSC,1
USCO,Unidentified Scoter,Melanitta spp.,SCOT,SCOT,1,XXXX,0,SCOT,0,SCOT,1,BLSC,1
SEOW,Short-eared Owl,Asio flammeus,SEOW,SEOW,1,SEOW,0,SEOW,0,SEOW,1,SEOW,0
SNBU,Snow Bunting,Plectrophenax nivalis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LSGO,Snow Goose,Anser caerulescens,SNGO,SNGO,1,SNGO,0,SNGO,0,SNGO,1,SNGO,1
LSGON,Snow Goose,Anser caerulescens,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SNGO,Snow Goose,Anser caerulescens,SNGO,SNGO,1,SNGO,0,SNGO,0,SNGO,1,SNGO,1
SNOW,Snowy Owl,Bubo scandiacus,SNOW,SNOW,1,SNOW,0,SNOW,0,SNOW,1,SNOW,0
SPEH,Spectacled Eider,Somateria fischeri,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SPEI,Spectacled Eider,Somateria fischeri,SPEI,SPEI,1,SPEI,0,SPEI,0,SPEI,1,SPEI,1
SPEIH,Spectacled Eider,Somateria fischeri,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SPEIY,Spectacled Eider,Somateria fischeri,SPEI,SPEI,1,SPEI,0,SPEI,0,SPEI,1,SPEI,1
SPJV,Spectacled Eider,Somateria fischeri,SPEI,SPEI,1,SPEI,0,SPEI,0,SPEI,1,SPEI,1
USPE,Spectacled Eider,Somateria fischeri,SPEI,SPEI,1,SPEI,0,SPEI,0,SPEI,1,SPEI,1
USPH,Spectacled Eider,Somateria fischeri,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BEGCOUNT,Start transect,Start transect,START,START,0,START,0,START,0,START,0,START,0
BEGT,Start transect,Start transect,START,START,0,START,0,START,0,START,0,START,0
start,Start transect,Start transect,START,START,0,START,0,START,0,START,0,START,0
START,Start transect,Start transect,START,START,0,START,0,START,0,START,0,START,0
TBEG,Start transect,Start transect,START,START,0,START,0,START,0,START,0,START,0
STEH,Steller's Eider,Polysticta stelleri,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
STEI,Steller's Eider,Polysticta stelleri,STEI,STEI,1,STEI,0,STEI,0,STEI,1,STEI,1
STEIH,Steller's Eider,Polysticta stelleri,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
STJV,Steller's Eider,Polysticta stelleri,STEI,STEI,1,STEI,0,STEI,0,STEI,1,STEI,1
SUSC,Surf Scoter,Melanitta perspicillata,SUSC,SUSC,1,SUSC,0,SUSC,0,SUSC,1,SUSC,1
SUSC1,Surf Scoter,Melanitta perspicillata,SUSC,XXXX,0,SUSC,1,XXXX,0,XXXX,0,XXXX,0
SUSC2,Surf Scoter,Melanitta perspicillata,SUSC,XXXX,0,SUSC,1,XXXX,0,XXXX,0,XXXX,0
SWAL,Unidentified Swallow,Tachycineta spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SWSP,Unidentified Swallow,Tachycineta spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UNSW,Unidentified Swallow,Tachycineta spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SWAN,Unidentified Swan,Cygnus spp.,SWAN,TUSW,1,SWAN,0,TRUS,1,SWAN,1,TUSW,1
TRSW,Trumpeter Swan,Cygnus buccinator,SWAN,TUSW,1,SWAN,0,TRUS,1,SWAN,1,TUSW,1
TRUS,Trumpeter Swan,Cygnus buccinator,SWAN,TUSW,1,SWAN,0,TRUS,1,SWAN,1,TUSW,1
TUSW,Tundra swan,Cygnus columbianus,SWAN,TUSW,1,SWAN,0,TRUS,1,SWAN,1,TUSW,1
SW.N,Unidentified Swan,Cygnus spp.,SWANN,SWANN,1,SWANN,0,SWANN,1,SWANN,1,SWANN,1
SWANN,Unidentified Swan,Cygnus spp.,SWANN,SWANN,1,SWANN,0,SWANN,1,SWANN,1,SWANN,1
SWNE,Unidentified Swan,Cygnus spp.,SWANN,SWANN,1,SWANN,0,SWANN,1,SWANN,1,SWANN,1
TRNE,Trumpeter Swan,Cygnus buccinator,SWANN,SWANN,1,SWANN,0,SWANN,1,SWANN,1,SWANN,1
TS.N,Tundra swan,Cygnus columbianus,SWANN,SWANN,1,SWANN,0,SWANN,1,SWANN,1,SWANN,1
TSNE,Tundra swan,Cygnus columbianus,SWANN,SWANN,1,SWANN,0,SWANN,1,SWANN,1,SWANN,1
TUNE,Tundra swan,Cygnus columbianus,SWANN,SWANN,1,SWANN,0,SWANN,1,SWANN,1,SWANN,1
TUSWN,Tundra swan,Cygnus columbianus,SWANN,SWANN,1,SWANN,0,SWANN,1,SWANN,1,SWANN,1
TC.N,Taverner's Cackling Goose,Branta hutchinsii taverneri,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
TCGO,Taverner's Cackling Goose,Branta hutchinsii taverneri,CCGO,CCGO,1,CCGO,0,CCGO,1,CCGO,1,CCGO,1
TCNE,Taverner's Cackling Goose,Branta hutchinsii taverneri,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
TDC,Taverner's Cackling Goose,Branta hutchinsii taverneri,CCGO,CCGO,1,CCGO,0,CCGO,1,CCGO,1,CCGO,1
EIDE,Unidentified Eider,Somateria spp.,UNEI,UNEI,1,UNEI,0,UNEI,0,UNEI,0,UNEI,0
EIDH,Unidentified Eider,Somateria spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EIHE,Unidentified Eider,Somateria spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UEIH,Unidentified Eider,Somateria spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UNEH,Unidentified Eider,Somateria spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UNEI,Unidentified Eider,Somateria spp.,UNEI,UNEI,1,UNEI,0,UNEI,0,UNEI,0,UNEI,1
UNEIH,Unidentified Eider,Somateria spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UNDU,Unidentified Duck,Duck spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BARG,Bar-tailed Godwit,Limosa lapponica,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BBPL,Black-bellied Plover,Pluvialis squatarola,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BBSP,Buff-breasted Sandpiper,Calidris subruficollis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BLTU,Black Turnstone,Arenaria melanocephala,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BTCU,Bristle-thighed Curlew,Numenius tahitiensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
BTGO,Bar-tailed Godwit,Limosa lapponica,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
COSN,Wilson's Snipe,Gallinago delicata,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
CURL,Unidentified Curlew,Numenius spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
DUNL,Dunlin,Calidris alpina,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GODW,Unidentified Godwit,Limosa spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GOPL,Unidentified Golden-Plover,Pluvialis spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GRYE,Greater Yellowlegs,Tringa melanoleuca,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GRYL,Greater Yellowlegs,Tringa melanoleuca,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
HUGO,Hudsonian Godwit,Limosa haemastica,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LASH,Unidentified large shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LEGO,Lesser Goldfinch,Spinus psaltria,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LEGP,Lesser Golden-Plover,Pluvialis dominica/fulva,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LEYE,Lesser Yellowlegs,Tringa flavipes,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LGPL,Lesser Golden-Plover,Pluvialis dominica/fulva,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LGSH,Unidentified large shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MAGO,Marbled Godwit,Limosa fedoa,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MESH,Unidentified Shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MSSH,Unidentified mid-sized shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
NOPH,Red Phalarope,Phalaropus fulicarius,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PEEP,Unidentified Shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PESA,Pectoral Sandpiper,Calidris melanotos,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PHAL,Unidentified Phalarope,Phalaropus spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
PHSP,Unidentified Phalarope,Phalaropus spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
REPH,Red Phalarope,Phalaropus fulicarius,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RNPH,Red-necked Phalarope,Phalaropus lobatus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ROSA,Rock Sandpiper,Calidris ptilocnemis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RUTU,Ruddy Turnstone,Arenaria interpres,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SESA,Semipalmated Sandpiper,Calidris pusilla,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SHBR,Unidentified Shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SMSB,Unidentified small shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SMSH,Unidentified small shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SPSA,Semipalmated Sandpiper,Calidris pusilla,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UDOW,Unidentified Dowitcher,Limnodromus sp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UGOD,Unidentified Godwit,Limosa spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ULSB,Unidentified large shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ULSH,Unidentified large shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
ULUS,Unidentified large shorebird,Shorebird spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
