INPUT,COMMON,SCIENTIFIC,QAQC,WBPHS,WBPHS_EST
begseg,Start count,Start count,START,START,0
START,Start count,Start transect,START,START,0
STEI,Steller's Eider,Polysticta stelleri,STEI,STEI,1
SUSC,Surf Scoter,Melanitta perspicillata,SUSC,SUSC,1
SUSC1,Surf Scoter,Melanitta perspicillata,SUSC,SUSC,1
SUSC2,Surf Scoter,Melanitta perspicillata,SUSC,SUSC,1
UNDU,Unidentified Duck,Duck spp.,UNDU,UNDU,0
EAGL,Unidentified Eagle,Aquila or Haliaeetus spp.,UNEA,UNEA,0
UNEA,Unidentified Eagle,Aquila or Haliaeetus spp.,UNEA,UNEA,0
NEST,"Unoccupied eagle nest, species unknown",Aquila or Haliaeetus spp.,XXXX,XXXX,0
EIDE,Unidentified Eider,Somateria spp.,UNEI,UNEI,1
UNEI,Unidentified Eider,Somateria spp.,UNEI,UNEI,1
GOLD,Unidentified Goldeneye,Bucephala spp.,GOLD,GOLD,1
UNGO,Unidentified Goose,Goose spp,UNGO,UNGO,0
GREB,Unidentified Grebe,Podiceps spp.,UNGR,UNGR,1
GREBE,Unidentified Grebe,Podiceps spp.,UNGR,UNGR,1
UNGR,Unidentified Grebe,Podiceps spp.,UNGR,UNGR,1
GULL,Unidentified Gull,Larus spp.,XXXX,XXXX,0
JAEG,Unidentified Jaeger,Stercorarius spp.,XXXX,XXXX,0
LOON,Unidentified Loon,Gavia spp.,UNLO,UNLO,1
UNLO,Unidentified Loon,Gavia spp.,UNLO,UNLO,1
HOME,Hooded Merganser,Lophodytes cucullatus,HOME,HOME,1
MERG,Unidentified Merganser,Mergus spp.,UNME,UNME,1
UNME,Unidentified Merganser,Mergus spp.,UNME,UNME,1
PTAR,Unidentified Ptarmigan,Lagopus spp.,XXXX,XXXX,0
SCAU,Unidentified Scaup,Aythya spp.,UNSC,UNSC,1
UNSC,Unidentified Scaup,Aythya spp.,UNSC,UNSC,1
SCOT,Unidentified Scoter,Melanitta spp.,SCOT,SCOT,1
SCOT1,Unidentified Scoter,Melanitta spp.,SCOT,SCOT,1
SCOT2,Unidentified Scoter,Melanitta spp.,SCOT,SCOT,1
SWAN,Unidentified Swan,Cygnus spp.,SWAN,SWAN,1
SWANN,Unidentified Swan nest,Cygnus spp.,SWANN,SWANN,1
SWANNEST,Unidentified Swan nest,Cygnus spp.,SWANN,SWANN,1
WEGR,Western Grebe,Aechmophorus occidentalis,WEGR,WEGR,0
WWSC,White-winged Scoter,Melanitta fusca,WWSC,WWSC,1
WWSC1,White-winged Scoter,Melanitta fusca,WWSC,WWSC,1
WWSC2,White-winged Scoter,Melanitta fusca,WWSC,WWSC,1
WOLF,Wolf,Canis lupus,XXXX,XXXX,0
YBLO,Yellow-billed Loon,Gavia adamsii,YBLO,YBLO,1
WODU,Wood Duck,Aix sponsa,WODU,WODU,1
