sppn,should.be,itot
GRBE,RNGR,0
GREB,RNGR,0
HOGR,RNGR,0
RNGB,RNGR,0
RNGR,RNGR,0
RNGRN,RNGR,0
UNGR,RNGR,0
RTLO,RTLO,0
RTLOB,RTLO,0
RTLON,RTLO,0
RUBL,RUBL,0
RUDU,RUDU,0
LSCR,SACR,1
SACR,SACR,1
SH.N,SACR,1
SHCR,SACR,1
BOGU,SAGU,0
SAGU,SAGU,0
SAGUN,SAGU,0
SASP,SASP,0
SAVS,SASP,0
GR.N,SCAU,0
GRSC,SCAU,0
GRSCH,XXXX,0
LESC,SCAU,0
SCAU,SCAU,0
SCAUH,SCAU,0
UNSC,SCAU,0
AMSC,SCOT,1
SCOT,SCOT,1
SCOT1,SCOT,1
SCOT2,SCOT,1
SCWW,SCOT,1
USCO,SCOT,1
SEOW,SEOW,0
SNBU,SNBU,0
LSGO,SNGO,1
LSGON,SNGO,1
SNGO,SNGO,1
SNOW,SNOW,0
SPEH,XXXX,1
SPEI,SPEI,1
SPEIH,XXXX,1
SPEIY,SPEI,1
SPJV,SPEI,1
USPE,SPEI,1
BEGCOUNT,START,0
BEGT,START,0
start,START,0
START,START,0
TBEG,START,0
STEH,XXXX,1
STEI,STEI,1
STEIH,XXXX,1
STJV,STEI,1
SUSC,SUSC,1
SUSC1,SUSC,1
SUSC2,SUSC,1
SWAL,SWAL,0
SWSP,SWAL,0
UNSW,SWAL,0
SWAN,SWAN,0
TRSW,SWAN,0
TRUS,SWAN,0
TUSW,SWAN,0
SW.N,SWANN,0
SWANN,SWANN,0
SWNE,SWANN,0
TRNE,SWANN,0
TS.N,SWANN,0
TSNE,SWANN,0
TUNE,SWANN,0
TUSWN,SWANN,0
TC.N,TCGO,1
TCGO,TCGO,1
TCNE,TCGO,1
TDC,TCGO,1
EIDE,UNEI,1
EIDH,UNEI,1
EIHE,UNEI,1
UEIH,UNEI,1
UNEH,UNEI,1
UNEI,UNEI,1
UNEIH,XXXX,1
BARG,UNSB,0
BBPL,UNSB,0
BBSP,UNSB,0
BLTU,UNSB,0
BTCU,UNSB,0
BTGO,UNSB,0
COSN,UNSB,0
CURL,UNSB,0
DUNL,UNSB,0
GODW,UNSB,0
GOPL,UNSB,0
GRYE,UNSB,0
GRYL,UNSB,0
HUGO,UNSB,0
LASH,UNSB,0
LEGO,UNSB,0
LEGP,UNSB,0
LEYE,UNSB,0
LGPL,UNSB,0
LGSH,UNSB,0
MAGO,UNSB,0
MESH,UNSB,0
MSSH,UNSB,0
NOPH,UNSB,0
PEEP,UNSB,0
PESA,UNSB,0
PHAL,UNSB,0
PHSP,UNSB,0
REPH,UNSB,0
RNPH,UNSB,0
ROSA,UNSB,0
RUTU,UNSB,0
SESA,UNSB,0
SHBR,UNSB,0
SMSB,UNSB,0
SMSH,UNSB,0
SPSA,UNSB,0
UDOW,UNSB,0
UGOD,UNSB,0
ULSB,UNSB,0
ULSH,UNSB,0
ULUS,UNSB,0
UMSH,UNSB,0
UNPH,UNSB,0
UNSA,UNSB,0
UNSB,UNSB,0
UNTU,UNSB,0
UNYE,UNSB,0
USPH,UNSB,0
USSB,UNSB,0
USSH,UNSB,0
WESA,UNSB,0
WHIM,UNSB,0
YELE,UNSB,0
YELG,UNSB,0
YESP,UNSB,0
WEGR,WEGR,0
GWFG,WFGO,1
GWFGN,WFGO,1
WF.N,WFGO,1
WFGN,WFGO,1
WFGO,WFGO,1
WFNE,WFGO,1
PTAR,WIPT,0
ROPT,WIPT,0
UNPT,WIPT,0
WIPT,WIPT,0
WWSC,WWSC,1
WWSC1,WWSC,1
WWSC2,WWSC,1
YBLO,YBLO,0
YBLOB,YBLO,0
YBLON,YBLO,0
YEWA,YEWA,0
YWAG,YWAG,0
YWAR,YWAR,0
