Tab,ident,lat,long
WAYPOINT,A0062E,69.97278595,-146.5104523
WAYPOINT,A0063W,69.86865234,-144.3825378
WAYPOINT,A0063E,69.84664154,-143.9920044
WAYPOINT,A0064W,69.82931519,-143.6953735
WAYPOINT,A0064E,69.81191254,-143.4059448
WAYPOINT,A0065W,69.97136688,-156.2920227
WAYPOINT,A0065E,69.95361328,-150.7136078
WAYPOINT,A0066W,69.65049744,-163.021225
WAYPOINT,A0066E,69.71867371,-161.5745087
WAYPOINT,A0067W,69.72488403,-161.4281158
WAYPOINT,A0067E,69.75439453,-160.7060089
WAYPOINT,A0068W,69.86209869,-156.5383453
WAYPOINT,A0068E,69.86954498,-155.9321289
WAYPOINT,A0069W,69.87688446,-155.0063477
WAYPOINT,A0069E,69.87915802,-154.6235046
WAYPOINT,A0070W,69.87480164,-152.9213104
WAYPOINT,A0070E,69.84801483,-150.6828461
WAYPOINT,A0071W,69.82324219,-149.6063232
WAYPOINT,A0071E,69.79608917,-148.6368561
WAYPOINT,A0072W,69.38985443,-163.1016693
WAYPOINT,A0072E,69.42189026,-162.4683685
WAYPOINT,A0073W,69.62343597,-154.854248
WAYPOINT,A0073E,69.62252808,-153.0712585
WAYPOINT,A0074W,69.60641479,-151.4799042
WAYPOINT,A0074E,69.59448242,-150.7658997
WAYPOINT,A0075W,69.58615875,-150.3489532
WAYPOINT,A0075E,69.57598877,-149.8566589
